possession_id,timestamp,team,player_id,action,zone,pressure,team_status,outcome,xg_change
M2926-P002,2025-06-15T20:20:34.137579Z,Home,9,BallRecovery,C1,0,Tied,Success,0.01
M2926-P002,2025-06-15T20:20:34.137695Z,Home,0,PossessionStart,C3,0,Tied,Success,0.0
M2926-P002,2025-06-15T20:20:34.137836Z,Home,8,SupportRequest,B1,0,Tied,Success,0.0
M2926-P002,2025-06-15T20:20:34.137911Z,Home,4,SupportRequest,A4,0,Tied,Success,0.0
M2926-P002,2025-06-15T20:20:34.138056Z,Home,9,Pass,C1,1,Tied,Success,0.02
M2926-P002,2025-06-15T20:20:34.138072Z,Away,10,SupportRequest,A3,0,Tied,Success,0.0
M2926-P002,2025-06-15T20:20:34.138161Z,Home,1,Dribble,B1,1,Tied,Success,0.03
M2926-P002,2025-06-15T20:20:34.138254Z,Home,7,SupportRequest,B1,0,Tied,Success,0.0
M2926-P002,2025-06-15T20:20:34.138263Z,Home,8,SupportRequest,B1,0,Tied,Success,0.0
M2926-P002,2025-06-15T20:20:34.138344Z,Home,9,SupportRequest,C1,0,Tied,Success,0.0
M2926-P002,2025-06-15T20:20:34.138408Z,Home,0,PossessionEnd,C3,0,Tied,Success,0.0
M2926-P003,2025-06-15T20:20:34.138431Z,Away,7,BallRecovery,C4,0,Tied,Success,0.01
M2926-P003,2025-06-15T20:20:34.138434Z,Away,0,PossessionStart,C3,0,Tied,Success,0.0
M2926-P003,2025-06-15T20:20:34.138438Z,Home,1,Dribble,B1,1,Tied,Failure,-0.03
M2926-P003,2025-06-15T20:20:34.138471Z,Home,4,SupportRequest,A4,0,Tied,Success,0.0
M2926-P003,2025-06-15T20:20:34.138539Z,Away,6,SupportRequest,B5,0,Tied,Success,0.0
M2926-P003,2025-06-15T20:20:34.138545Z,Away,4,SupportRequest,D3,0,Tied,Success,0.0
M2926-P003,2025-06-15T20:20:34.138574Z,Away,11,SupportRequest,B1,0,Tied,Success,0.0
M2926-P003,2025-06-15T20:20:34.138583Z,Away,2,SupportRequest,B3,0,Tied,Success,0.0
M2926-P003,2025-06-15T20:20:34.138611Z,Away,0,PossessionEnd,C3,0,Tied,Success,0.0
M2926-P004,2025-06-15T20:20:34.138637Z,Home,7,BallRecovery,A1,0,Tied,Success,0.01
M2926-P004,2025-06-15T20:20:34.138641Z,Home,0,PossessionStart,C3,0,Tied,Success,0.0
M2926-P004,2025-06-15T20:20:34.138645Z,Away,7,Dribble,C4,1,Tied,Failure,-0.03
M2926-P004,2025-06-15T20:20:34.138707Z,Home,0,PossessionEnd,C3,0,Tied,Success,0.0
M2926-P005,2025-06-15T20:20:34.138732Z,Away,6,BallRecovery,B5,0,Tied,Success,0.01
M2926-P005,2025-06-15T20:20:34.138735Z,Away,0,PossessionStart,C3,0,Tied,Success,0.0
M2926-P005,2025-06-15T20:20:34.138739Z,Home,7,Pass,A1,1,Tied,Failure,-0.05
M2926-P005,2025-06-15T20:20:34.138785Z,Home,8,SupportRequest,C2,0,Tied,Success,0.0
M2926-P005,2025-06-15T20:20:34.138837Z,Away,0,PossessionEnd,C3,0,Tied,Success,0.0
M2926-P006,2025-06-15T20:20:34.138861Z,Home,7,BallRecovery,A1,0,Tied,Success,0.01
M2926-P006,2025-06-15T20:20:34.138864Z,Home,0,PossessionStart,C3,0,Tied,Success,0.0
M2926-P006,2025-06-15T20:20:34.138868Z,Away,6,Pass,B5,1,Tied,Failure,-0.05
M2926-P006,2025-06-15T20:20:34.138904Z,Home,5,SupportRequest,B2,0,Tied,Success,0.0
M2926-P006,2025-06-15T20:20:34.138983Z,Home,11,SupportRequest,C5,0,Tied,Success,0.0
M2926-P006,2025-06-15T20:20:34.139017Z,Home,0,PossessionEnd,C3,0,Tied,Success,0.0
M2926-P007,2025-06-15T20:20:34.139051Z,Away,8,BallRecovery,B2,0,Tied,Success,0.01
M2926-P007,2025-06-15T20:20:34.139054Z,Away,0,PossessionStart,C3,0,Tied,Success,0.0
M2926-P007,2025-06-15T20:20:34.139058Z,Home,7,Pass,A1,1,Tied,Failure,-0.05
M2926-P007,2025-06-15T20:20:34.139070Z,Away,11,SupportRequest,B1,0,Tied,Success,0.0
M2926-P007,2025-06-15T20:20:34.139074Z,Home,5,SupportRequest,B2,0,Tied,Success,0.0
M2926-P007,2025-06-15T20:20:34.139078Z,Away,1,SupportRequest,D1,0,Tied,Success,0.0
M2926-P007,2025-06-15T20:20:34.139125Z,Away,0,PossessionEnd,C3,0,Tied,Success,0.0
M2926-P008,2025-06-15T20:20:34.139151Z,Home,7,BallRecovery,A1,0,Tied,Success,0.01
M2926-P008,2025-06-15T20:20:34.139154Z,Home,0,PossessionStart,C3,0,Tied,Success,0.0
M2926-P008,2025-06-15T20:20:34.139165Z,Away,8,Shot,B2,1,Tied,Failure,-0.06
M2926-P008,2025-06-15T20:20:34.139253Z,Home,4,SupportRequest,B4,0,Tied,Success,0.0
M2926-P008,2025-06-15T20:20:34.139280Z,Home,0,PossessionEnd,C3,0,Tied,Success,0.0
M2926-P009,2025-06-15T20:20:34.139299Z,Away,6,BallRecovery,B5,0,Tied,Success,0.01
M2926-P009,2025-06-15T20:20:34.139302Z,Away,0,PossessionStart,C3,0,Tied,Success,0.0
M2926-P009,2025-06-15T20:20:34.139312Z,Home,7,Pass,A1,1,Tied,Failure,-0.05
M2926-P009,2025-06-15T20:20:34.139401Z,Away,0,PossessionEnd,C3,0,Tied,Success,0.0
M2926-P010,2025-06-15T20:20:34.139427Z,Home,6,BallRecovery,B4,0,Tied,Success,0.01
M2926-P010,2025-06-15T20:20:34.139431Z,Home,0,PossessionStart,C3,0,Tied,Success,0.0
M2926-P010,2025-06-15T20:20:34.139449Z,Away,6,Pass,B5,1,Tied,Failure,-0.05
M2926-P010,2025-06-15T20:20:34.139484Z,Away,1,SupportRequest,D1,0,Tied,Success,0.0
M2926-P010,2025-06-15T20:20:34.139488Z,Away,7,SupportRequest,C5,0,Tied,Success,0.0
M2926-P010,2025-06-15T20:20:34.139539Z,Home,0,PossessionEnd,C3,0,Tied,Success,0.0
