possession_id,timestamp,team,player_id,action,zone,pressure,team_status,outcome,xg_change
M6794-P002,2025-06-15T20:30:50.416222Z,Home,9,BallRecovery,B5,0,Tied,Success,0.01
M6794-P002,2025-06-15T20:30:50.416233Z,Home,0,PossessionStart,C3,0,Tied,Success,0.0
M6794-P002,2025-06-15T20:30:50.416299Z,Home,11,SupportRequest,D3,0,Tied,Success,0.0
M6794-P002,2025-06-15T20:30:50.416303Z,Home,2,SupportRequest,A2,0,Tied,Success,0.0
M6794-P002,2025-06-15T20:30:50.416337Z,Home,0,PossessionEnd,C3,0,Tied,Success,0.0
M6794-P003,2025-06-15T20:30:50.416351Z,Away,7,BallRecovery,C1,0,Tied,Success,0.01
M6794-P003,2025-06-15T20:30:50.416353Z,Away,0,PossessionStart,C3,0,Tied,Success,0.0
M6794-P003,2025-06-15T20:30:50.416355Z,Home,9,Dribble,B5,1,Tied,Failure,-0.03
M6794-P003,2025-06-15T20:30:50.416370Z,Home,11,SupportRequest,D3,0,Tied,Success,0.0
M6794-P003,2025-06-15T20:30:50.416374Z,Home,5,SupportRequest,A1,0,Tied,Success,0.0
M6794-P003,2025-06-15T20:30:50.416378Z,Away,2,SupportRequest,C2,0,Tied,Success,0.0
M6794-P003,2025-06-15T20:30:50.416403Z,Away,0,PossessionEnd,C3,0,Tied,Success,0.0
M6794-P004,2025-06-15T20:30:50.416414Z,Home,7,BallRecovery,C4,0,Tied,Success,0.01
M6794-P004,2025-06-15T20:30:50.416416Z,Home,0,PossessionStart,C3,0,Tied,Success,0.0
M6794-P004,2025-06-15T20:30:50.416418Z,Away,7,Pass,C1,1,Tied,Failure,-0.05
M6794-P004,2025-06-15T20:30:50.416442Z,Away,3,SupportRequest,C2,0,Tied,Success,0.0
M6794-P004,2025-06-15T20:30:50.416493Z,Home,7,Pass,C4,1,Tied,Success,0.02
M6794-P004,2025-06-15T20:30:50.416526Z,Home,2,Pass,D4,1,Tied,Success,0.02
M6794-P004,2025-06-15T20:30:50.416579Z,Home,11,Dribble,D3,1,Tied,Success,0.03
M6794-P004,2025-06-15T20:30:50.416640Z,Away,2,SupportRequest,C2,0,Tied,Success,0.0
M6794-P004,2025-06-15T20:30:50.416642Z,Away,10,SupportRequest,A5,0,Tied,Success,0.0
M6794-P004,2025-06-15T20:30:50.416663Z,Home,0,PossessionEnd,C3,0,Tied,Success,0.0
M6794-P005,2025-06-15T20:30:50.416673Z,Away,8,BallRecovery,B4,0,Tied,Success,0.01
M6794-P005,2025-06-15T20:30:50.416674Z,Away,0,PossessionStart,C3,0,Tied,Success,0.0
M6794-P005,2025-06-15T20:30:50.416677Z,Home,11,Shot,D3,1,Tied,Failure,-0.175
M6794-P005,2025-06-15T20:30:50.416697Z,Away,6,SupportRequest,B4,0,Tied,Success,0.0
M6794-P005,2025-06-15T20:30:50.416706Z,Home,8,SupportRequest,C2,0,Tied,Success,0.0
M6794-P005,2025-06-15T20:30:50.416708Z,Away,9,SupportRequest,A4,0,Tied,Success,0.0
M6794-P005,2025-06-15T20:30:50.416710Z,Home,3,SupportRequest,B2,0,Tied,Success,0.0
M6794-P005,2025-06-15T20:30:50.416741Z,Away,8,Pass,B4,1,Tied,Success,0.02
M6794-P005,2025-06-15T20:30:50.416743Z,Home,9,SupportRequest,C4,0,Tied,Success,0.0
M6794-P005,2025-06-15T20:30:50.416771Z,Away,1,SupportRequest,D1,0,Tied,Success,0.0
M6794-P005,2025-06-15T20:30:50.416794Z,Away,2,Pass,B5,1,Tied,Success,0.02
M6794-P005,2025-06-15T20:30:50.416831Z,Away,0,PossessionEnd,C3,0,Tied,Success,0.0
M6794-P006,2025-06-15T20:30:50.416840Z,Home,7,BallRecovery,C5,0,Tied,Success,0.01
M6794-P006,2025-06-15T20:30:50.416842Z,Home,0,PossessionStart,C3,0,Tied,Success,0.0
M6794-P006,2025-06-15T20:30:50.416844Z,Away,5,Pass,B4,1,Tied,Failure,-0.05
M6794-P006,2025-06-15T20:30:50.416847Z,Home,8,SupportRequest,A2,0,Tied,Success,0.0
M6794-P006,2025-06-15T20:30:50.416856Z,Home,1,SupportRequest,A5,0,Tied,Success,0.0
M6794-P006,2025-06-15T20:30:50.416878Z,Home,7,Dribble,D5,1,Tied,Success,0.03
M6794-P006,2025-06-15T20:30:50.416880Z,Away,9,SupportRequest,A4,0,Tied,Success,0.0
M6794-P006,2025-06-15T20:30:50.416896Z,Home,6,SupportRequest,C2,0,Tied,Success,0.0
M6794-P006,2025-06-15T20:30:50.416928Z,Home,0,PossessionEnd,C3,0,Tied,Success,0.0
M6794-P007,2025-06-15T20:30:50.416936Z,Away,7,BallRecovery,C1,0,Tied,Success,0.01
M6794-P007,2025-06-15T20:30:50.416938Z,Away,0,PossessionStart,C3,0,Tied,Success,0.0
M6794-P007,2025-06-15T20:30:50.416940Z,Home,7,Pass,D5,1,Tied,Failure,-0.05
M6794-P007,2025-06-15T20:30:50.416956Z,Away,1,SupportRequest,D1,0,Tied,Success,0.0
M6794-P007,2025-06-15T20:30:50.416958Z,Away,2,SupportRequest,B5,0,Tied,Success,0.0
M6794-P007,2025-06-15T20:30:50.416976Z,Away,7,Pass,C1,1,Tied,Success,0.02
M6794-P007,2025-06-15T20:30:50.417015Z,Away,0,PossessionEnd,C3,0,Tied,Success,0.0
M6794-P008,2025-06-15T20:30:50.417029Z,Home,7,BallRecovery,D5,0,Tied,Success,0.01
M6794-P008,2025-06-15T20:30:50.417031Z,Home,0,PossessionStart,C3,0,Tied,Success,0.0
M6794-P008,2025-06-15T20:30:50.417033Z,Away,11,Shot,A1,1,Tied,Failure,-0.075
M6794-P008,2025-06-15T20:30:50.417068Z,Home,1,SupportRequest,A5,0,Tied,Success,0.0
M6794-P008,2025-06-15T20:30:50.417070Z,Away,3,SupportRequest,C1,0,Tied,Success,0.0
M6794-P008,2025-06-15T20:30:50.417081Z,Home,0,PossessionEnd,C3,0,Tied,Success,0.0
M6794-P009,2025-06-15T20:30:50.417090Z,Away,7,BallRecovery,C1,0,Tied,Success,0.01
M6794-P009,2025-06-15T20:30:50.417091Z,Away,0,PossessionStart,C3,0,Tied,Success,0.0
M6794-P009,2025-06-15T20:30:50.417093Z,Home,7,Shot,D5,1,Tied,Failure,-0.075
M6794-P009,2025-06-15T20:30:50.417102Z,Away,0,PossessionEnd,C3,0,Tied,Success,0.0
M6794-P010,2025-06-15T20:30:50.417111Z,Home,9,BallRecovery,C4,0,Tied,Success,0.01
M6794-P010,2025-06-15T20:30:50.417112Z,Home,0,PossessionStart,C3,0,Tied,Success,0.0
M6794-P010,2025-06-15T20:30:50.417114Z,Away,7,Pass,C1,1,Tied,Failure,-0.05
M6794-P010,2025-06-15T20:30:50.417123Z,Home,0,PossessionEnd,C3,0,Tied,Success,0.0
M6794-P011,2025-06-15T20:30:50.417132Z,Away,8,BallRecovery,B4,0,Tied,Success,0.01
M6794-P011,2025-06-15T20:30:50.417134Z,Away,0,PossessionStart,C3,0,Tied,Success,0.0
M6794-P011,2025-06-15T20:30:50.417135Z,Home,9,Pass,C4,1,Tied,Failure,-0.05
M6794-P011,2025-06-15T20:30:50.417137Z,Home,4,SupportRequest,B3,0,Tied,Success,0.0
M6794-P011,2025-06-15T20:30:50.417156Z,Away,8,Pass,B4,1,Tied,Success,0.02
M6794-P011,2025-06-15T20:30:50.417202Z,Away,9,SupportRequest,B3,0,Tied,Success,0.0
M6794-P011,2025-06-15T20:30:50.417204Z,Home,6,SupportRequest,C2,0,Tied,Success,0.0
M6794-P011,2025-06-15T20:30:50.417219Z,Away,0,PossessionEnd,C3,0,Tied,Success,0.0
M6794-P012,2025-06-15T20:30:50.417227Z,Home,9,BallRecovery,B5,0,Tied,Success,0.01
M6794-P012,2025-06-15T20:30:50.417229Z,Home,0,PossessionStart,C3,0,Tied,Success,0.0
M6794-P012,2025-06-15T20:30:50.417231Z,Away,5,Pass,A4,1,Tied,Failure,-0.05
M6794-P012,2025-06-15T20:30:50.417233Z,Away,7,SupportRequest,C1,0,Tied,Success,0.0
M6794-P012,2025-06-15T20:30:50.417235Z,Home,11,SupportRequest,C4,0,Tied,Success,0.0
M6794-P012,2025-06-15T20:30:50.417245Z,Away,3,SupportRequest,C1,0,Tied,Success,0.0
M6794-P012,2025-06-15T20:30:50.417254Z,Home,5,SupportRequest,C1,0,Tied,Success,0.0
M6794-P012,2025-06-15T20:30:50.417275Z,Home,2,SupportRequest,D4,0,Tied,Success,0.0
M6794-P012,2025-06-15T20:30:50.417277Z,Home,11,SupportRequest,C4,0,Tied,Success,0.0
M6794-P012,2025-06-15T20:30:50.417330Z,Home,9,Pass,B5,1,Tied,Success,0.02
M6794-P012,2025-06-15T20:30:50.417352Z,Home,0,PossessionEnd,C3,0,Tied,Success,0.0
M6794-P013,2025-06-15T20:30:50.417361Z,Away,6,BallRecovery,C4,0,Tied,Success,0.01
M6794-P013,2025-06-15T20:30:50.417362Z,Away,0,PossessionStart,C3,0,Tied,Success,0.0
M6794-P013,2025-06-15T20:30:50.417364Z,Home,5,Clearance,B3,1,Tied,Success,0.0
M6794-P013,2025-06-15T20:30:50.417381Z,Away,3,SupportRequest,C1,0,Tied,Success,0.0
M6794-P013,2025-06-15T20:30:50.417382Z,Home,10,SupportRequest,C4,0,Tied,Success,0.0
M6794-P013,2025-06-15T20:30:50.417476Z,Away,0,PossessionEnd,C3,0,Tied,Success,0.0
M6794-P014,2025-06-15T20:30:50.417495Z,Home,7,BallRecovery,C3,0,Tied,Success,0.01
M6794-P014,2025-06-15T20:30:50.417497Z,Home,0,PossessionStart,C3,0,Tied,Success,0.0
M6794-P014,2025-06-15T20:30:50.417499Z,Away,6,Pass,C4,1,Tied,Failure,-0.05
M6794-P014,2025-06-15T20:30:50.417521Z,Home,8,SupportRequest,A4,0,Tied,Success,0.0
M6794-P014,2025-06-15T20:30:50.417525Z,Away,2,SupportRequest,D5,0,Tied,Success,0.0
M6794-P014,2025-06-15T20:30:50.417546Z,Home,0,PossessionEnd,C3,0,Tied,Success,0.0
M6794-P015,2025-06-15T20:30:50.417556Z,Away,6,BallRecovery,C4,0,Tied,Success,0.01
M6794-P015,2025-06-15T20:30:50.417557Z,Away,0,PossessionStart,C3,0,Tied,Success,0.0
M6794-P015,2025-06-15T20:30:50.417559Z,Home,7,Shot,C3,1,Tied,Failure,-0.09
M6794-P015,2025-06-15T20:30:50.417596Z,Away,6,Pass,C4,1,Tied,Success,0.02
M6794-P015,2025-06-15T20:30:50.417626Z,Away,0,PossessionEnd,C3,0,Tied,Success,0.0
M6794-P016,2025-06-15T20:30:50.417635Z,Home,8,BallRecovery,A4,0,Tied,Success,0.01
M6794-P016,2025-06-15T20:30:50.417636Z,Home,0,PossessionStart,C3,0,Tied,Success,0.0
M6794-P016,2025-06-15T20:30:50.417638Z,Away,11,Shot,B5,1,Tied,Failure,-0.04
M6794-P016,2025-06-15T20:30:50.417660Z,Home,8,Pass,A4,1,Tied,Success,0.02
M6794-P016,2025-06-15T20:30:50.417686Z,Home,0,PossessionEnd,C3,0,Tied,Success,0.0
M6794-P017,2025-06-15T20:30:50.417694Z,Away,8,BallRecovery,C4,0,Tied,Success,0.01
M6794-P017,2025-06-15T20:30:50.417696Z,Away,0,PossessionStart,C3,0,Tied,Success,0.0
M6794-P017,2025-06-15T20:30:50.417697Z,Home,5,Dribble,B4,1,Tied,Failure,-0.03
M6794-P017,2025-06-15T20:30:50.417722Z,Away,0,PossessionEnd,C3,0,Tied,Success,0.0
M6794-P018,2025-06-15T20:30:50.417731Z,Home,8,BallRecovery,A4,0,Tied,Success,0.01
M6794-P018,2025-06-15T20:30:50.417732Z,Home,0,PossessionStart,C3,0,Tied,Success,0.0
M6794-P018,2025-06-15T20:30:50.417734Z,Away,8,Pass,C4,1,Tied,Failure,-0.05
M6794-P018,2025-06-15T20:30:50.417742Z,Home,1,SupportRequest,A5,0,Tied,Success,0.0
M6794-P018,2025-06-15T20:30:50.417756Z,Home,0,PossessionEnd,C3,0,Tied,Success,0.0
M6794-P019,2025-06-15T20:30:50.417764Z,Away,8,BallRecovery,C4,0,Tied,Success,0.01
M6794-P019,2025-06-15T20:30:50.417765Z,Away,0,PossessionStart,C3,0,Tied,Success,0.0
M6794-P019,2025-06-15T20:30:50.417767Z,Home,8,Dribble,A4,1,Tied,Failure,-0.03
M6794-P019,2025-06-15T20:30:50.417783Z,Home,6,SupportRequest,C2,0,Tied,Success,0.0
M6794-P019,2025-06-15T20:30:50.417787Z,Away,1,SupportRequest,D3,0,Tied,Success,0.0
M6794-P019,2025-06-15T20:30:50.417799Z,Away,0,PossessionEnd,C3,0,Tied,Success,0.0
M6794-P020,2025-06-15T20:30:50.417810Z,Home,8,BallRecovery,A4,0,Tied,Success,0.01
M6794-P020,2025-06-15T20:30:50.417811Z,Home,0,PossessionStart,C3,0,Tied,Success,0.0
M6794-P020,2025-06-15T20:30:50.417813Z,Away,8,Dribble,C4,1,Tied,Failure,-0.03
M6794-P020,2025-06-15T20:30:50.417830Z,Home,4,SupportRequest,D2,0,Tied,Success,0.0
M6794-P020,2025-06-15T20:30:50.417832Z,Home,10,SupportRequest,D4,0,Tied,Success,0.0
M6794-P020,2025-06-15T20:30:50.417835Z,Away,4,SupportRequest,A5,0,Tied,Success,0.0
M6794-P020,2025-06-15T20:30:50.417862Z,Home,8,Pass,A4,1,Tied,Success,0.02
M6794-P020,2025-06-15T20:30:50.417871Z,Home,0,PossessionEnd,C3,0,Tied,Success,0.0
M6794-P021,2025-06-15T20:30:50.417881Z,Away,8,BallRecovery,C4,0,Tied,Success,0.01
M6794-P021,2025-06-15T20:30:50.417883Z,Away,0,PossessionStart,C3,0,Tied,Success,0.0
M6794-P021,2025-06-15T20:30:50.417885Z,Home,5,Pass,B5,1,Tied,Failure,-0.05
M6794-P021,2025-06-15T20:30:50.417888Z,Home,11,SupportRequest,D3,0,Tied,Success,0.0
