possession_id,timestamp,team,player_id,action,zone,pressure,team_status,outcome,xg_change
M2900-P002,2025-06-15T20:19:41.934950Z,Home,8,BallRecovery,C5,0,Tied,Success,0.01
M2900-P002,2025-06-15T20:19:41.934970Z,Home,0,PossessionStart,C3,0,Tied,Success,0.0
M2900-P002,2025-06-15T20:19:41.935150Z,Home,8,Pass,C5,1,Tied,Success,0.02
M2900-P002,2025-06-15T20:19:41.935174Z,Away,1,SupportRequest,D3,0,Tied,Success,0.0
M2900-P002,2025-06-15T20:19:41.935208Z,Home,4,SupportRequest,B2,0,Tied,Success,0.0
M2900-P002,2025-06-15T20:19:41.935280Z,Away,11,SupportRequest,D4,0,Tied,Success,0.0
M2900-P002,2025-06-15T20:19:41.935341Z,Home,0,PossessionEnd,C3,0,Tied,Success,0.0
M2900-P003,2025-06-15T20:19:41.935373Z,Away,8,BallRecovery,B2,0,Tied,Success,0.01
M2900-P003,2025-06-15T20:19:41.935377Z,Away,0,PossessionStart,C3,0,Tied,Success,0.0
M2900-P003,2025-06-15T20:19:41.935382Z,Home,5,Pass,D5,1,Tied,Failure,-0.05
M2900-P003,2025-06-15T20:19:41.935422Z,Away,0,PossessionEnd,C3,0,Tied,Success,0.0
M2900-P004,2025-06-15T20:19:41.935442Z,Home,8,BallRecovery,C5,0,Tied,Success,0.01
M2900-P004,2025-06-15T20:19:41.935445Z,Home,0,PossessionStart,C3,0,Tied,Success,0.0
M2900-P004,2025-06-15T20:19:41.935450Z,Away,8,Pass,B2,1,Tied,Failure,-0.05
M2900-P004,2025-06-15T20:19:41.935497Z,Home,0,PossessionEnd,C3,0,Tied,Success,0.0
M2900-P005,2025-06-15T20:19:41.935533Z,Away,8,BallRecovery,B2,0,Tied,Success,0.01
M2900-P005,2025-06-15T20:19:41.935536Z,Away,0,PossessionStart,C3,0,Tied,Success,0.0
M2900-P005,2025-06-15T20:19:41.935540Z,Home,8,Dribble,C5,1,Tied,Failure,-0.03
M2900-P005,2025-06-15T20:19:41.935576Z,Home,3,SupportRequest,A3,0,Tied,Success,0.0
M2900-P005,2025-06-15T20:19:41.935674Z,Away,0,PossessionEnd,C3,0,Tied,Success,0.0
M2900-P006,2025-06-15T20:19:41.935694Z,Home,7,BallRecovery,C3,0,Tied,Success,0.01
M2900-P006,2025-06-15T20:19:41.935697Z,Home,0,PossessionStart,C3,0,Tied,Success,0.0
M2900-P006,2025-06-15T20:19:41.935702Z,Away,8,Pass,B2,1,Tied,Failure,-0.05
M2900-P006,2025-06-15T20:19:41.935707Z,Home,1,SupportRequest,A3,0,Tied,Success,0.0
M2900-P006,2025-06-15T20:19:41.935748Z,Home,7,Pass,C3,1,Tied,Success,0.02
M2900-P006,2025-06-15T20:19:41.935753Z,Away,5,SupportRequest,B4,0,Tied,Success,0.0
M2900-P006,2025-06-15T20:19:41.935803Z,Home,10,SupportRequest,C4,0,Tied,Success,0.0
M2900-P006,2025-06-15T20:19:41.935826Z,Home,0,PossessionEnd,C3,0,Tied,Success,0.0
M2900-P007,2025-06-15T20:19:41.935845Z,Away,6,BallRecovery,C5,0,Tied,Success,0.01
M2900-P007,2025-06-15T20:19:41.935848Z,Away,0,PossessionStart,C3,0,Tied,Success,0.0
M2900-P007,2025-06-15T20:19:41.935852Z,Home,5,Pass,D3,1,Tied,Failure,-0.05
M2900-P007,2025-06-15T20:19:41.935871Z,Away,4,SupportRequest,D2,0,Tied,Success,0.0
M2900-P007,2025-06-15T20:19:41.935932Z,Away,0,PossessionEnd,C3,0,Tied,Success,0.0
M2900-P008,2025-06-15T20:19:41.935961Z,Home,9,BallRecovery,B4,0,Tied,Success,0.01
M2900-P008,2025-06-15T20:19:41.935964Z,Home,0,PossessionStart,C3,0,Tied,Success,0.0
M2900-P008,2025-06-15T20:19:41.935968Z,Away,6,Pass,C5,1,Tied,Failure,-0.05
M2900-P008,2025-06-15T20:19:41.935989Z,Home,0,PossessionEnd,C3,0,Tied,Success,0.0
M2900-P009,2025-06-15T20:19:41.936007Z,Away,6,BallRecovery,C5,0,Tied,Success,0.01
M2900-P009,2025-06-15T20:19:41.936011Z,Away,0,PossessionStart,C3,0,Tied,Success,0.0
M2900-P009,2025-06-15T20:19:41.936014Z,Home,9,Pass,B4,1,Tied,Failure,-0.05
M2900-P009,2025-06-15T20:19:41.936107Z,Away,11,SupportRequest,D4,0,Tied,Success,0.0
M2900-P009,2025-06-15T20:19:41.936143Z,Home,4,SupportRequest,C2,0,Tied,Success,0.0
M2900-P009,2025-06-15T20:19:41.936148Z,Away,1,SupportRequest,D3,0,Tied,Success,0.0
M2900-P009,2025-06-15T20:19:41.936185Z,Away,0,PossessionEnd,C3,0,Tied,Success,0.0
M2900-P010,2025-06-15T20:19:41.936204Z,Home,8,BallRecovery,C5,0,Tied,Success,0.01
M2900-P010,2025-06-15T20:19:41.936207Z,Home,0,PossessionStart,C3,0,Tied,Success,0.0
M2900-P010,2025-06-15T20:19:41.936212Z,Away,6,Dribble,C5,1,Tied,Failure,-0.03
